Организация отдыха,Период заезда,Количество обращений,Количество страховых случаев
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,03.07.2019 - 23.07.2019,0,0
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,04.08.2019 - 24.08.2019,0,0
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,15.07.2019 - 04.08.2019,0,0
ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС БЕРЕЗОВАЯ РОЩА ,24.07.2019 - 13.08.2019,0,0
ООО «Санаторий «Соловушка»(обособка),31.05.2019 - 20.06.2019,0,0
РГСУ Учебно-реабилитационный молодежный центр Алмаз,07.10.2019 - 20.10.2019,0,0
РГСУ Учебно-реабилитационный молодежный центр Алмаз,28.10.2019 - 11.11.2019,0,0
Российский государственный социальный университет  Учебно-реабилитационный молодежный центр «Алмаз»(обособка),22.06.2019 - 12.07.2019,0,0
Санаторий-Профилакторий Сосновый (Обособка),05.08.2019 - 25.08.2019,0,0
Смоленское областное государственное бюджетное учреждение  Социально-оздоровительный центр Голоевка(обособка),20.06.2019 - 10.07.2019,0,0
ФГБОУ «Всероссийский детский центр Орлёнок,09.09.2019 - 29.09.2019,0,0
Федеральное государственное бюджетное учреждение «Санаторий для детей с родителями «Кратово» Министерства здравоохранения Российской Федерации( обособка),20.07.2019 - 09.08.2019,0,0
Федеральное государственное бюджетное учреждение «Санаторий для детей с родителями «Кратово» Министерства здравоохранения Российской Федерации( обособка),29.06.2019 - 19.07.2019,0,0
Федеральное государственное бюджетное учреждение Детский оздоровительный пансионат Россия Управления делами Президента Российской Федерации (обособка),14.07.2019 - 03.08.2019,0,0
Филиал Детский Санаторий Солнышко ОАО Белагроздравница (обособка),01.06.2019 - 21.06.2019,0,0
Филиал Детский Санаторий Солнышко ОАО Белагроздравница (обособка),13.07.2019 - 02.08.2019,0,0
Филиал Детский Санаторий Солнышко ОАО Белагроздравница (обособка),22.06.2019 - 12.07.2019,0,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),01.06.2019 - 21.06.2019,0,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),04.08.2019 - 24.08.2019,0,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),13.07.2019 - 02.08.2019,0,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),22.06.2019 - 12.07.2019,0,0
